E,N,Z
0.0606,0.386,-0.157
0.0502,0.383,-0.159
0.0318,0.38,-0.157
0.0306,0.376,-0.154
0.0388,0.372,-0.15
0.0166,0.372,-0.149
-0.00326,0.376,-0.152
0.0113,0.38,-0.154
0.0258,0.385,-0.158
0.0376,0.386,-0.163
0.0351,0.387,-0.163
0.0124,0.392,-0.163
-0.00158,0.387,-0.166
-0.0123,0.381,-0.163
-0.00512,0.384,-0.16
0.0269,0.39,-0.162
0.0471,0.395,-0.163
0.0513,0.398,-0.165
0.0398,0.398,-0.173
0.0185,0.393,-0.175
0.0217,0.393,-0.165
0.053,0.394,-0.153
0.0827,0.388,-0.143
0.0817,0.392,-0.139
0.057,0.399,-0.145
0.0414,0.401,-0.148
0.0371,0.4,-0.141
0.0353,0.392,-0.131
0.0547,0.379,-0.127
0.0676,0.376,-0.126
0.0434,0.38,-0.132
0.0175,0.379,-0.133
0.00893,0.378,-0.129
0.0368,0.377,-0.137
0.0809,0.374,-0.142
0.0748,0.375,-0.149
0.0509,0.379,-0.168
0.0377,0.387,-0.178
0.0157,0.393,-0.18
0.00743,0.391,-0.178
0.0127,0.389,-0.169
0.0208,0.392,-0.171
0.0325,0.391,-0.175
0.0424,0.383,-0.168
0.0466,0.376,-0.162
0.0376,0.373,-0.162
0.0332,0.379,-0.162
0.032,0.392,-0.168
0.0344,0.4,-0.173
0.0473,0.402,-0.164
0.0265,0.4,-0.156
-0.00908,0.399,-0.154
-0.00807,0.401,-0.155
0.0101,0.401,-0.161
0.0323,0.399,-0.164
0.049,0.402,-0.158
0.0383,0.401,-0.15
0.0289,0.396,-0.145
0.0292,0.395,-0.142
0.00628,0.39,-0.141
0.0109,0.388,-0.136
0.0569,0.39,-0.133
0.0639,0.389,-0.139
0.0397,0.395,-0.139
0.0349,0.398,-0.134
0.0466,0.394,-0.138
0.0507,0.391,-0.139
0.0326,0.385,-0.142
0.0109,0.378,-0.153
0.0144,0.379,-0.156
0.0402,0.378,-0.157
0.0571,0.38,-0.156
